MS-DRG 	FY 2010 Final Rule Post-Acute DRG	FY 2010 Final Rule Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights	Geometric mean LOS	Arithmetic mean LOS
057	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC	0.9028	3.9	5.0
058	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC	1.5512	5.8	7.8
059	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC	0.9581	4.2	5.1
060	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC	0.7083	3.2	3.8
061	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC	2.9168	6.5	8.7
062	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC	1.929	5.0	5.9
063	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC	1.5187	3.6	4.2
064	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	1.8258	5.3	7.2
065	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	1.158	4.1	5.0
066	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC	0.8223	2.9	3.5
067	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC	1.3335	4.3	5.5
068	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC	0.8593	2.7	3.4
069	No	No	01	MED	TRANSIENT ISCHEMIA	0.7289	2.4	2.9
070	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC	1.7919	5.7	7.4
071	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W CC	1.1027	4.1	5.2
072	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC	0.7616	2.6	3.3
073	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W MCC	1.2939	4.5	6.0
074	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC	0.838	3.3	4.1
075	No	No	01	MED	VIRAL MENINGITIS W CC/MCC	1.667	5.7	7.3
076	No	No	01	MED	VIRAL MENINGITIS W/O CC/MCC	0.8336	3.3	3.9
077	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W MCC	1.6245	5.3	6.6
078	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W CC	0.9822	3.6	4.3
079	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC	0.7359	2.7	3.2
080	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W MCC	1.1461	3.7	5.0
081	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W/O MCC	0.7113	2.7	3.4
082	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC"	2.013	3.7	6.3
083	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC"	1.3031	3.6	4.9
084	No	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC"	0.8532	2.2	2.9
085	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC"	2.0572	5.3	7.4
086	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC"	1.2098	3.8	4.9
087	Yes	No	01	MED	"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC"	0.7815	2.4	3.1
088	No	No	01	MED	CONCUSSION W MCC	1.4741	4.2	5.5
089	No	No	01	MED	CONCUSSION W CC	0.9298	2.9	3.7
090	No	No	01	MED	CONCUSSION W/O CC/MCC	0.6818	1.9	2.4
091	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W MCC	1.5465	4.5	6.2
092	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W CC	0.9167	3.4	4.3
093	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC	0.6691	2.4	3.0
094	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC	3.4161	9.0	11.7
095	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC	2.2416	6.4	8.1
096	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC	1.7927	4.7	5.9
097	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC	3.0233	9.1	11.5
098	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC	1.7985	6.3	8.0
099	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC	1.2084	4.6	5.5
100	Yes	No	01	MED	SEIZURES W MCC	1.4778	4.5	6.1
101	Yes	No	01	MED	SEIZURES W/O MCC	0.7577	2.8	3.6
102	No	No	01	MED	HEADACHES W MCC	0.9772	3.2	4.4
103	No	No	01	MED	HEADACHES W/O MCC	0.6355	2.4	3.0
113	No	No	02	SURG	ORBITAL PROCEDURES W CC/MCC	1.7702	4.0	5.7
114	No	No	02	SURG	ORBITAL PROCEDURES W/O CC/MCC	0.8825	2.0	2.6
115	No	No	02	SURG	EXTRAOCULAR PROCEDURES EXCEPT ORBIT	1.1589	3.2	4.4
116	No	No	02	SURG	INTRAOCULAR PROCEDURES W CC/MCC	1.1418	2.7	4.0
117	No	No	02	SURG	INTRAOCULAR PROCEDURES W/O CC/MCC	0.6914	1.6	2.1
121	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W CC/MCC	1.0006	4.4	5.6
122	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W/O CC/MCC	0.6713	3.4	4.2
123	No	No	02	MED	NEUROLOGICAL EYE DISORDERS	0.7153	2.3	2.8
124	No	No	02	MED	OTHER DISORDERS OF THE EYE W MCC	1.1843	4.1	5.6
125	No	No	02	MED	OTHER DISORDERS OF THE EYE W/O MCC	0.6627	2.6	3.3
129	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE	2.0661	3.6	5.2
130	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W/O CC/MCC	1.2054	2.4	3.0
131	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W CC/MCC	2.0146	3.9	5.7
132	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W/O CC/MCC	1.1355	2.1	2.7
133	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC"	1.5884	3.7	5.5
134	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC"	0.8166	1.7	2.2
135	No	No	03	SURG	SINUS & MASTOID PROCEDURES W CC/MCC	1.852	4.3	6.5
136	No	No	03	SURG	SINUS & MASTOID PROCEDURES W/O CC/MCC	0.9015	1.7	2.1
137	No	No	03	SURG	MOUTH PROCEDURES W CC/MCC	1.4004	4.0	5.4
138	No	No	03	SURG	MOUTH PROCEDURES W/O CC/MCC	0.7458	1.9	2.4
139	No	No	03	SURG	SALIVARY GLAND PROCEDURES	0.808	1.4	1.7
146	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC"	2.1291	6.7	9.5
147	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC"	1.2345	4.0	5.8
148	No	No	03	MED	"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC"	0.6995	2.3	3.2
149	No	No	03	MED	DYSEQUILIBRIUM	0.6293	2.2	2.7
150	No	No	03	MED	EPISTAXIS W MCC	1.3363	4.0	5.4
151	No	No	03	MED	EPISTAXIS W/O MCC	0.6194	2.3	2.9
152	No	No	03	MED	OTITIS MEDIA & URI W MCC	0.9396	3.6	4.6
153	No	No	03	MED	OTITIS MEDIA & URI W/O MCC	0.6084	2.7	3.3
154	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC"	1.3872	4.5	6.1
155	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"	0.8823	3.4	4.3
156	No	No	03	MED	"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"	0.6201	2.4	3.0
157	No	No	03	MED	DENTAL & ORAL DISEASES W MCC	1.4763	4.8	6.6
158	No	No	03	MED	DENTAL & ORAL DISEASES W CC	0.9235	3.5	4.6
159	No	No	03	MED	DENTAL & ORAL DISEASES W/O CC/MCC	0.5949	2.3	3.0
163	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W MCC	4.9549	11.7	14.3
164	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W CC	2.5164	6.3	7.5
165	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W/O CC/MCC	1.7662	4.0	4.7
166	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W MCC	3.7227	9.8	12.5
167	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W CC	2.0068	6.0	7.6
168	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC	1.3026	3.4	4.6
175	Yes	No	04	MED	PULMONARY EMBOLISM W MCC	1.6121	5.9	7.1
176	Yes	No	04	MED	PULMONARY EMBOLISM W/O MCC	1.0685	4.3	5.1
177	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC	2.0483	7.1	8.9
178	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W CC	1.486	5.8	7.1
179	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC	1.0088	4.3	5.2
180	No	No	04	MED	RESPIRATORY NEOPLASMS W MCC	1.7263	5.9	7.7
181	No	No	04	MED	RESPIRATORY NEOPLASMS W CC	1.2062	4.3	5.6
182	No	No	04	MED	RESPIRATORY NEOPLASMS W/O CC/MCC	0.8159	3.0	3.8
183	No	No	04	MED	MAJOR CHEST TRAUMA W MCC	1.4432	5.2	6.6
184	No	No	04	MED	MAJOR CHEST TRAUMA W CC	0.9483	3.7	4.5
185	No	No	04	MED	MAJOR CHEST TRAUMA W/O CC/MCC	0.6665	2.6	3.2
186	Yes	No	04	MED	PLEURAL EFFUSION W MCC	1.5917	5.5	7.1
187	Yes	No	04	MED	PLEURAL EFFUSION W CC	1.062	3.9	5.0
188	Yes	No	04	MED	PLEURAL EFFUSION W/O CC/MCC	0.7612	2.9	3.6
189	No	No	04	MED	PULMONARY EDEMA & RESPIRATORY FAILURE	1.3455	4.7	6.0
190	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC	1.2076	4.7	5.8
191	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC	0.9622	4.0	4.8
192	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC	0.7175	3.2	3.8
193	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W MCC	1.4378	5.3	6.6
194	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W CC	0.9976	4.3	5.1
195	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC	0.7095	3.3	3.9
196	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W MCC	1.5396	5.6	7.0
197	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W CC	1.0647	4.2	5.1
198	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W/O CC/MCC	0.8137	3.2	3.9
199	No	No	04	MED	PNEUMOTHORAX W MCC	1.8266	6.4	8.3
200	No	No	04	MED	PNEUMOTHORAX W CC	0.9745	3.7	4.8
201	No	No	04	MED	PNEUMOTHORAX W/O CC/MCC	0.7144	2.9	3.8
202	No	No	04	MED	BRONCHITIS & ASTHMA W CC/MCC	0.8374	3.5	4.3
203	No	No	04	MED	BRONCHITIS & ASTHMA W/O CC/MCC	0.6055	2.7	3.3
204	No	No	04	MED	RESPIRATORY SIGNS & SYMPTOMS	0.6472	2.1	2.8
205	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC	1.2566	4.0	5.4
206	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC	0.7294	2.6	3.3
207	Yes	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS	5.178	12.8	15.1
208	No	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS	2.2358	5.1	7.2
215	No	No	05	SURG	OTHER HEART ASSIST SYSTEM IMPLANT	12.8304	7.0	14.4
216	Yes	No	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC	10.1967	15.5	18.1
217	Yes	No	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC	6.5932	10.1	11.2
218	Yes	No	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC	5.2809	7.6	8.3
219	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC	7.9336	11.1	13.6
220	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC	5.1767	7.3	8.0
221	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC	4.3926	5.7	6.1
222	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC	8.4829	9.8	12.4
223	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC	6.2229	3.8	5.4
224	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC	7.5477	7.8	9.9
225	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC	5.8321	3.9	5.0
226	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC	6.5457	5.7	8.5
227	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC	5.0519	1.8	2.8
228	Yes	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W MCC	7.5401	11.8	14.2
229	Yes	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W CC	4.8428	7.5	8.5
230	Yes	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC	3.7989	5.0	5.9
231	No	No	05	SURG	CORONARY BYPASS W PTCA W MCC	7.6784	10.8	12.9
232	No	No	05	SURG	CORONARY BYPASS W PTCA W/O MCC	5.5589	8.3	9.2
233	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W MCC	6.924	12.0	13.7
234	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W/O MCC	4.6212	8.1	8.7
235	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W MCC	5.6898	9.5	11.1
236	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W/O MCC	3.6128	6.0	6.5
237	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W MCC OR THORACIC AORTIC ANEURYSM REPAIR	5.0355	7.3	10.5
238	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W/O MCC	2.9366	3.0	4.3
239	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC	4.7275	12.2	15.5
240	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC	2.5377	7.9	9.7
241	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC	1.4922	5.3	6.3
242	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W MCC	3.5878	6.3	8.1
243	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W CC	2.5737	3.6	4.8
244	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC	1.9888	2.1	2.7
245	No	No	05	SURG	AICD GENERATOR PROCEDURES	4.0534	2.2	3.4
246	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS	3.0955	3.5	5.0
247	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC	1.9121	1.7	2.1
248	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS	2.8419	4.3	6.0
249	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC	1.684	2.0	2.5
250	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC	2.7546	5.0	7.0
251	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC	1.6455	2.0	2.7
252	No	No	05	SURG	OTHER VASCULAR PROCEDURES W MCC	2.9443	5.3	8.2
253	No	No	05	SURG	OTHER VASCULAR PROCEDURES W CC	2.2817	4.2	5.9
254	No	No	05	SURG	OTHER VASCULAR PROCEDURES W/O CC/MCC	1.5713	1.9	2.6
255	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC	2.5388	7.4	9.9
256	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC	1.5518	5.6	7.1
257	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC	0.9529	3.4	4.5
258	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC	2.8006	5.0	6.8
259	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC	1.7191	2.0	2.8
260	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC	3.2956	7.4	10.7
261	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC	1.4677	2.9	4.1
262	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC	1.0412	1.9	2.5
263	No	No	05	SURG	VEIN LIGATION & STRIPPING	1.6163	3.3	5.4
264	Yes	No	05	SURG	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	2.5087	5.6	8.5
265	No	No	05	SURG	AICD LEAD PROCEDURES	2.2407	2.3	3.4
280	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"	1.8313	5.4	6.8
281	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"	1.162	3.6	4.5
282	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"	0.8177	2.3	2.9
283	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC"	1.6717	3.3	5.3
284	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC"	0.8024	1.9	2.7
285	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC"	0.5602	1.5	1.9
286	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"	1.9634	5.0	6.7
287	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"	1.0321	2.4	3.1
288	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W MCC	3.0888	9.2	11.8
289	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W CC	1.8496	6.6	8.0
290	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC	1.2313	4.5	5.5
291	Yes	No	05	MED	HEART FAILURE & SHOCK W MCC	1.4609	5.0	6.4
292	Yes	No	05	MED	HEART FAILURE & SHOCK W CC	0.974	3.9	4.7
293	Yes	No	05	MED	HEART FAILURE & SHOCK W/O CC/MCC	0.694	2.9	3.4
294	No	No	05	MED	DEEP VEIN THROMBOPHLEBITIS W CC/MCC	1.0104	4.6	5.7
295	No	No	05	MED	DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC	0.6504	3.6	4.2
296	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W MCC"	1.1665	1.9	3.0
297	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W CC"	0.6704	1.4	1.8
298	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC"	0.4469	1.1	1.2
299	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W MCC	1.4045	5.0	6.4
300	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W CC	0.9378	4.0	5.0
301	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS W/O CC/MCC	0.6522	2.9	3.6
302	No	No	05	MED	ATHEROSCLEROSIS W MCC	0.9999	3.1	4.2
303	No	No	05	MED	ATHEROSCLEROSIS W/O MCC	0.5681	2.0	2.4
304	No	No	05	MED	HYPERTENSION W MCC	1.0242	3.7	4.8
305	No	No	05	MED	HYPERTENSION W/O MCC	0.5959	2.2	2.8
306	No	No	05	MED	CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC	1.3076	4.1	5.6
307	No	No	05	MED	CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC	0.7624	2.6	3.3
308	No	No	05	MED	CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC	1.2188	4.0	5.3
309	No	No	05	MED	CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC	0.8207	3.0	3.8
310	No	No	05	MED	CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	0.571	2.1	2.6
311	No	No	05	MED	ANGINA PECTORIS	0.5128	1.9	2.3
